id,olng,olat,dlng,dlat,Ts,OnD,Tr,Cep,Tp,Td,WT,VT,D
33,-71.103823,42.354241,-71.089973,42.368276,223.4,True,1806.3352634912685,1806.3352634912685,1963.6,2187.0,157.2647365087314,223.4000000000001,1.0000000000000004
34,-71.103823,42.354241,-71.089973,42.368276,223.4,True,1862.7054100624136,1862.7054100624136,2053.4,2276.8,190.69458993758644,223.4000000000001,1.0000000000000004
35,-71.103823,42.354241,-71.089973,42.368276,223.4,True,1890.6199250435063,1890.6199250435063,1963.6,2187.0,72.98007495649358,223.4000000000001,1.0000000000000004
36,-71.090304,42.362369,-71.101767,42.359878,104.5,True,1938.3154151760878,1938.3154151760878,1950,2054.5,11.684584823912246,104.5,1.0
37,-71.104143,42.379222,-71.090304,42.362369,258.1,True,1960.168673869821,1960.168673869821,2204.1,2461.6,243.93132613017883,257.5,0.9976753196435489
38,-71.104143,42.379222,-71.090304,42.362369,258.1,True,1966.5749192382495,1966.5749192382495,1980,2238.1,13.42508076175045,258.0999999999999,0.9999999999999996
39,-71.101767,42.359878,-71.085837,42.360482,174.7,True,1986.946352716139,1986.946352716139,2037.5,2212.2,50.55364728386098,174.69999999999982,0.999999999999999
40,-71.102711,42.364923,-71.093499,42.359121,76.7,True,2011.9013723571177,2011.9013723571177,2129.1,2205.8,117.19862764288223,76.70000000000027,1.0000000000000036
41,-71.093499,42.359121,-71.118953,42.373568,192.8,True,2097.423111425536,2097.423111425536,2316.8,2506.3,219.37688857446437,189.5,0.9828838174273858
42,-71.102711,42.364923,-71.104143,42.379222,201.5,True,2175.744766314437,2175.744766314437,2373.5,2575.0,197.75523368556287,201.5,1.0
43,-71.089973,42.368276,-71.102711,42.364923,152.6,True,2250.081841367619,2250.081841367619,2280,2432.6,29.918158632381164,152.5999999999999,0.9999999999999994
44,-71.102711,42.364923,-71.104143,42.379222,201.5,True,2253.494741909253,2253.494741909253,2393.5,2635.2,140.0052580907468,241.69999999999982,1.1995037220843663
45,-71.102711,42.364923,-71.093499,42.359121,76.7,True,2267.6549910580084,2267.6549910580084,2387.1,2463.8,119.44500894199155,76.70000000000027,1.0000000000000036
46,-71.118953,42.373568,-71.086319,42.362396,319.5,True,2286.2653067455585,2286.2653067455585,2502.8,2822.3,216.53469325444166,319.5,1.0
47,-71.102711,42.364923,-71.104143,42.379222,201.5,True,2315.009651926537,2315.009651926537,2373.5,2575.0,58.49034807346288,201.5,1.0
48,-71.086319,42.362396,-71.103823,42.354241,163.4,True,2430.369549736385,2430.369549736385,2489.2,2652.6,58.83045026361469,163.4000000000001,1.0000000000000004
49,-71.118953,42.373568,-71.086319,42.362396,319.5,True,2442.5831442221015,2442.5831442221015,2506.3,2918.1,63.71685577789867,411.7999999999997,1.288888888888888
50,-71.102711,42.364923,-71.104143,42.379222,201.5,True,2460.940813630168,2460.940813630168,2490,2691.5,29.059186369831878,201.5,1.0
51,-71.101767,42.359878,-71.085837,42.360482,174.7,True,2558.8171938548116,2558.8171938548116,2654.1,2828.8,95.28280614518826,174.70000000000027,1.0000000000000016
52,-71.103823,42.354241,-71.089973,42.368276,223.4,True,2851.3560429344507,2851.3560429344507,3043.4,3266.8,192.04395706554942,223.4000000000001,1.0000000000000004
53,-71.104143,42.379222,-71.090304,42.362369,258.1,True,2922.7062098194638,2922.7062098194638,2940,3198.1,17.293790180536234,258.0999999999999,0.9999999999999996
54,-71.093499,42.359121,-71.118953,42.373568,192.8,True,2923.8233072637454,2923.8233072637454,3053.9,3246.7,130.0766927362547,192.79999999999973,0.9999999999999986
55,-71.103823,42.354241,-71.089973,42.368276,223.4,True,3032.301525310075,3032.301525310075,3060,3283.4,27.698474689925206,223.4000000000001,1.0000000000000004
56,-71.090304,42.362369,-71.101767,42.359878,104.5,True,3247.7594216108755,3247.7594216108755,3350.4,3454.9,102.64057838912458,104.5,1.0
57,-71.101767,42.359878,-71.085837,42.360482,174.7,True,3366.0952743631237,3366.0952743631237,3390,3564.7,23.904725636876265,174.69999999999982,0.999999999999999
