""
ASC,step,ASSIGN,REOPT,REBL,T_STUDY,fleet,capacity,volume,service_rate,count_served,count_reqs,service_rate_ond,count_served_ond,count_reqs_ond,service_rate_adv,count_served_adv,count_reqs_adv,wait_time_ond,wait_time_adv,in_veh_time,detour_factor,veh_service_dist,veh_service_time,veh_service_time_percent,veh_rebl_dist,veh_rebl_time,veh_rebl_time_percent,veh_load_by_dist,veh_load_by_time,
""
ASC,step,ASSIGN,REOPT,REBL,T_STUDY,fleet,capacity,volume,service_rate,count_served,count_reqs,service_rate_ond,count_served_ond,count_reqs_ond,service_rate_adv,count_served_adv,count_reqs_adv,wait_time_ond,wait_time_adv,in_veh_time,detour_factor,veh_service_dist,veh_service_time,veh_service_time_percent,veh_rebl_dist,veh_rebl_time,veh_rebl_time_percent,veh_load_by_dist,veh_load_by_time,
""
ASC,step,ASSIGN,REOPT,REBL,T_STUDY,fleet,capacity,volume,service_rate,count_served,count_reqs,service_rate_ond,count_served_ond,count_reqs_ond,service_rate_adv,count_served_adv,count_reqs_adv,wait_time_ond,wait_time_adv,in_veh_time,detour_factor,veh_service_dist,veh_service_time,veh_service_time_percent,veh_rebl_dist,veh_rebl_time,veh_rebl_time_percent,veh_load_by_dist,veh_load_by_time,
AVPT-5.5,47,ins,no,orp,3600,10,4,83.4911536689,0.0,0,101,0.0,0,101,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,48,ins,no,orp,3600,10,4,83.5190001699,0.0,0,78,0.0,0,78,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,49,ins,no,orp,3600,10,4,83.5457328108,0.0,0,91,0.0,0,91,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,0,ins,no,orp,3600,10,4,19.3606618694,0.0,0,20,0.0,0,20,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,1,ins,no,orp,3600,10,4,52.1081470436,0.0,0,58,0.0,0,58,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,2,ins,no,orp,3600,10,4,63.023975435,0.0,0,59,0.0,0,59,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,3,ins,no,orp,3600,10,4,68.4818896307,0.0,0,69,0.0,0,69,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,4,ins,no,orp,3600,10,4,71.7566381481,0.0,0,73,0.0,0,73,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,5,ins,no,orp,3600,10,4,73.9398038264,0.0,0,66,0.0,0,66,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,6,ins,no,orp,3600,10,4,75.4992078823,0.0,0,76,0.0,0,76,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,7,ins,no,orp,3600,10,4,76.6687609242,0.0,0,77,0.0,0,77,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,8,ins,no,orp,3600,10,4,77.5784132902,0.0,0,70,0.0,0,70,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,9,ins,no,orp,3600,10,4,78.3061351829,0.0,0,81,0.0,0,81,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,10,ins,no,orp,3600,10,4,78.9015440043,0.0,0,83,0.0,0,83,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,11,ins,no,orp,3600,10,4,79.3977180221,0.0,0,94,0.0,0,94,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,12,ins,no,orp,3600,10,4,79.8175575756,0.0,0,83,0.0,0,83,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,13,ins,no,orp,3600,10,4,80.17742005,0.0,0,92,0.0,0,92,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,14,ins,no,orp,3600,10,4,80.4893008612,0.0,0,83,0.0,0,83,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,15,ins,no,orp,3600,10,4,80.762196571,0.0,0,82,0.0,0,82,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,16,ins,no,orp,3600,10,4,81.0029869032,0.0,0,81,0.0,0,81,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,17,ins,no,orp,3600,10,4,81.217022754,0.0,0,80,0.0,0,80,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,18,ins,no,orp,3600,10,4,81.4085285152,0.0,0,88,0.0,0,88,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,19,ins,no,orp,3600,10,4,81.5808837004,0.0,0,79,0.0,0,79,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,20,ins,no,orp,3600,10,4,81.736824106,0.0,0,83,0.0,0,83,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,21,ins,no,orp,3600,10,4,81.878588111,0.0,0,89,0.0,0,89,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,22,ins,no,orp,3600,10,4,82.0080248113,0.0,0,96,0.0,0,96,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,23,ins,no,orp,3600,10,4,82.1266751199,0.0,0,71,0.0,0,71,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AVPT-5.5,24,ins,no,orp,3600,10,4,82.2358334038,0.0,0,78,0.0,0,78,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
