ttrip_id,expan_fac,expan_fac/10,av1,autodis,autotime,num_cars,parking_fare,congcharg,av2,av3,walktime,walkdis,av4,biketime,bikedis,av5,bus_transittime,bus_transitwalktime,bus_transitinvehtime,bus_transitnumtransfers,bus_fare,av6,rail_transittime,rail_transitwalktime,rail_transitinvehtime,rail_transitnumtransfers,rail_fare,av8,pnk_transittime,pnk_fare,pnk_transitnumtransfers,pnk_transitwalktime,expan_fac,avdis,avtime,avptdis,avpttime,avptwalkdis,avptWalkTime,avptInVehDis,avptInVehTime,avptNumSteps,avptTransitLineNames
60690210101,372.84,37.284,1,22454,2307,1,1.24,0,1,1,15001,20255,1,4473,22147,0,0,0,0,0,0,1,4035,1214,2460,1,2.7,1,4035,2.7,1,1214,372.84,4018,548,21583,2878,1059,904,20524,1470,2,southeastern/RV1/
60730610201,483.36,48.336,1,22305,3519,1,3.04,1,1,1,15212,20216,1,4745,23104,0,0,0,0,0,0,1,3817,1223,2580,0,4.15,1,3817,4.15,0,1223,483.36,6001,760,23005,2379,733,579,22272,1800,1,southeastern/
60781110201,396.43,39.643,1,25638,3029,4,3.34,1,1,1,15831,21250,1,4652,23494,0,0,0,0,0,0,1,3079,808,1980,1,4.15,1,3079,4.15,1,808,396.43,2879,389,21808,2092,774,479,21034,1200,2,southeastern/Northern/
60800710101,363.78,36.378,1,29812,4441,0,3.04,1,1,1,19823,26266,1,6090,29551,0,0,0,0,0,0,1,4055,1507,2258,1,4.85,1,4055,4.85,1,1507,363.78,3976,607,25554,2336,618,498,24936,1500,2,southeastern/Jubilee/
60810510101,373.27,37.327,1,29774,3631,1,3.04,1,1,1,17840,23699,1,5433,27063,0,0,0,0,0,0,1,2865,807,1680,1,4.85,1,2865,4.85,1,807,373.27,5208,681,24011,2813,804,630,23207,1920,2,southeastern/Northern/
60811310201,370.67,37.067,1,26351,2980,1,1.98,1,1,1,17507,23299,1,5293,26010,0,0,0,0,0,0,1,4029,1154,2880,0,4.85,1,4029,4.85,0,1154,370.67,7181,848,22517,2930,989,785,21528,1800,2,southeastern/521/
70662010101,1156.46,115.646,1,29620,3953,2,1.71,1,1,1,20336,27878,1,5844,31175,0,0,0,0,0,0,1,4117,1058,2700,1,4.85,1,4117,4.85,1,1058,1156.46,12407,1163,21817,1988,766,606,21051,1380,1,southeastern/
70670410201,421.78,42.178,1,24478,3676,2,3.04,1,1,1,15059,20092,1,4222,22094,0,0,0,0,0,0,1,4543,997,2594,1,4.15,1,4543,4.15,1,997,421.78,4636,650,26704,2741,522,409,26182,1560,3,southeastern/Jubilee/Victoria/
70681110201,843.54,84.354,1,49218,3947,2,2.46,0,1,1,21289,28549,1,6519,32563,0,0,0,0,0,0,1,3811,794,2760,1,4.85,1,3811,4.85,1,794,843.54,2695,405,24706,2691,378,326,24328,2100,2,southeastern/Northern/
70681410301,600.31,60.031,1,58911,4497,1,3.04,0,1,1,21206,28214,1,7024,33843,0,0,0,0,0,0,1,3525,1521,1620,1,4.85,1,3525,4.85,1,1521,600.31,1611,295,27463,2595,768,585,26695,1680,2,southeastern/Jubilee/
70682310101,391.05,39.105,1,26444,3890,2,1.71,1,1,1,17720,23815,1,5121,25688,0,0,0,0,0,0,1,2712,1750,960,0,4.85,1,2712,4.85,0,1750,391.05,2273,445,19767,1278,358,258,19409,1020,1,southeastern/
70691910101,264.59,26.459,1,17271,2144,2,1.71,0,1,1,11735,15901,1,3262,16914,0,0,0,0,0,0,1,3584,1369,1740,1,2.7,1,3584,2.7,1,1369,264.59,6467,787,16697,2725,495,392,16202,2045,2,southeastern/53/
70692910101,329.05,32.905,1,22278,2679,2,1.98,1,1,1,14451,19320,1,4068,19754,0,0,0,0,0,0,1,2998,891,1800,1,4.15,1,2998,4.15,1,891,329.05,6980,906,21629,1948,595,341,21034,1200,2,southeastern/Northern/
70711310101,455.78,45.578,1,28832,3428,1,2.46,1,1,1,18196,24195,1,5654,27300,0,0,0,0,0,0,1,3536,339,2605,2,4.85,1,3536,4.85,2,339,455.78,2258,444,22275,2530,171,148,22104,2040,2,southeastern/521/
