ttrip_id,expan_fac,expan_fac/10,choice,av1,autodis,autotime,num_cars,parking_fare,congcharg,av2,av3,walktime,walkdis,av4,biketime,bikedis,av5,bus_transittime,bus_transitwalktime,bus_transitinvehtime,bus_transitnumtransfers,bus_fare,av6,rail_transittime,rail_transitwalktime,rail_transitinvehtime,rail_transitnumtransfers,rail_fare,av8,pnk_transittime,pnk_fare,pnk_transitnumtransfers,pnk_transitwalktime
1.30711E+11,808.16,80.816,5,1,4963,537,1,0.47,0,1,1,3660,4758,1,1107,4949,1,1073,529,543,0,1.3,0,0,0,0,0,0,1,1073,1.3,0,529
1.30661E+11,571.11,57.111,5,1,5559,852,4,0.47,0,1,1,3405,4802,1,929,4917,1,1389,729,657,0,1.3,0,0,0,0,0,0,1,1389,1.3,0,729
1.30681E+11,318.89,31.889,5,1,2915,458,1,0.47,0,1,1,2196,2890,1,687,2891,1,968,674,288,0,1.3,0,0,0,0,0,0,1,968,1.3,0,674
1.30781E+11,286.88,28.688,5,1,5425,594,1,0.47,0,1,1,2938,3867,1,892,4354,1,1643,926,715,0,1.3,1,1469,1123,360,0,1.65,1,1556,1.475,0,1024
1.30781E+11,260.48,26.048,5,1,5425,594,1,0.47,0,1,1,2938,3867,1,892,4354,1,1643,926,715,0,1.3,1,1469,1123,360,0,1.65,1,1556,1.475,0,1024
1.30802E+11,328.36,32.836,5,1,2137,389,1,0.47,0,1,1,1379,1864,1,543,1877,1,660,280,378,0,1.3,0,0,0,0,0,0,1,660,1.3,0,280
1.30681E+11,447.83,44.783,5,1,2915,458,1,0.47,0,1,1,2196,2890,1,687,2891,1,968,674,288,0,1.3,0,0,0,0,0,0,1,968,1.3,0,674
1.20812E+11,947.2,94.72,5,1,6484,820,0,0.47,0,1,1,4221,5442,1,1442,6320,1,1812,853,960,0,1.3,0,0,0,0,0,0,1,1812,1.3,0,853
1.10692E+11,258.9,25.89,5,1,7976,979,0,0.47,0,1,1,5085,6672,1,1762,7487,1,1932,492,1440,0,1.3,0,0,0,0,0,0,1,1932,1.3,0,492
1.2067E+11,338.58,33.858,8,1,4602,616,1,0.47,0,1,1,2977,3893,1,884,3895,1,1301,529,771,0,1.3,0,0,0,0,0,0,1,1301,1.3,0,529
1.10682E+11,659.77,65.977,5,1,3407,469,0,0.47,0,1,1,2381,3348,1,660,3355,1,1049,91,958,0,1.3,1,1527,640,443,1,1.45,1,1288,1.375,0.5,365
1.00712E+11,426.83,42.683,5,1,4825,582,2,0.47,0,1,1,3521,4825,1,935,4946,1,1167,512,648,0,1.3,0,0,0,0,0,0,1,1167,1.3,0,512
